columns,kernel,gamma,cost,error,dispersion,degree
readforms,radial,10,1,0.3143483709273183,0.060329087991679346,NA
readforms,radial,100,1,0.3854323308270677,0.08316973286686112,NA
readforms,radial,1000,1,0.44226190476190474,0.06723281970220048,NA
readforms,radial,0.001,10,0.2611215538847118,0.067842071640831475,NA
readforms,radial,0.01,10,0.2629072681704261,0.06461415850035736,NA
readforms,radial,0.1,10,0.2646303258145363,0.06527093557319925,NA
readforms,radial,1,10,0.2840852130325815,0.06284203982607398,NA
readforms,radial,10,10,0.33035714285714285,0.06717135030589622,NA
readforms,radial,100,10,0.3729010025062657,0.08475557962839107,NA
readforms,radial,1000,10,0.4351190476190476,0.07095900392908723,NA
readforms,radial,0.001,100,0.2699874686716792,0.06655214927360421,NA
readforms,radial,0.01,100,0.26284461152882205,0.06743913761318698,NA
readforms,radial,0.1,100,0.25222431077694235,0.0637028790938822,NA
readforms,radial,1,100,0.3179197994987469,0.05193215565333145,NA
readforms,radial,10,100,0.337374686716792,0.06754423583333326,NA
readforms,radial,100,100,0.3729010025062657,0.08475557962839107,NA
readforms,radial,1000,100,0.4351190476190476,0.07095900392908723,NA
readforms,radial,0.001,1000,0.2699561403508772,0.07002392474388038,NA
readforms,radial,0.01,1000,0.2681704260651629,0.06342212021616411,NA
readforms,radial,0.1,1000,0.26287593984962404,0.05295659095401907,NA
readforms,radial,1,1000,0.31087092731829574,0.044134044889677565,NA
readforms,radial,10,1000,0.3285401002506266,0.06145819354391175,NA
readforms,radial,100,1000,0.3729010025062657,0.08475557962839107,NA
readforms,radial,1000,1000,0.4351190476190476,0.07095900392908723,NA
readforms,polynomial3,0.001,0.001,0.4494047619047619,0.05343706126097382,3
readforms,polynomial3,0.01,0.001,0.4494047619047619,0.05343706126097382,3
readforms,polynomial3,0.1,0.001,0.4494047619047619,0.05343706126097382,3
readforms,polynomial3,1,0.001,0.2716165413533834,0.03994575894749776,3
readforms,polynomial3,0.001,0.01,0.4494047619047619,0.05343706126097382,3
readforms,polynomial3,0.01,0.01,0.4494047619047619,0.05343706126097382,3
readforms,polynomial3,0.1,0.01,0.4494047619047619,0.05343706126097382,3
readforms,polynomial3,1,0.01,0.26278195488721806,0.03749284408347472,3
readforms,polynomial3,0.001,0.1,0.4494047619047619,0.05343706126097382,3
readforms,polynomial3,0.01,0.1,0.4494047619047619,0.05343706126097382,3
readforms,polynomial3,0.1,0.1,0.2787907268170426,0.035956958034324325,3
readforms,polynomial3,1,0.1,0.2734962406015038,0.0390632322740963,3
readforms,polynomial3,0.001,1,0.4494047619047619,0.05343706126097382,3
readforms,polynomial3,0.01,1,0.4494047619047619,0.05343706126097382,3
